发送时间：2018-06-11 10:51:49 	 服务器地址：http://192.168.1.100:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 10:56:44 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 10:59:51 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 11:01:29 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 11:01:54 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 11:02:03 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 11:06:52 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2018-06-11 16:06:46 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2018-06-11 16:07:51 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-06-11 16:25:55 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2018-06-12 15:13:13 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2018-06-29 09:53:53 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
